candidate,weights,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_AUC,Dev_MCC,Dev_TN,Dev_FP,Dev_FN,Dev_TP,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_MCC,Test_TN,Test_FP,Test_FN,Test_TP
WeightedSoftVoting,GradientBoostingClf:0.125;RandomForestClf:0.250;ExtraTreesClf:0.375;SVC_RBF:0.250,0.31000000000000005,0.7142857142857143,0.6,0.5,0.5454545454545454,0.605072463768116,0.34262414443209643,19,4,6,6,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7683982683982684,0.5521177907240944,28,5,4,10
WeightedSoftVoting,GradientBoostingClf:0.100;RandomForestClf:0.300;ExtraTreesClf:0.300;SVC_RBF:0.300,0.31000000000000005,0.7142857142857143,0.6,0.5,0.5454545454545454,0.5905797101449275,0.34262414443209643,19,4,6,6,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7727272727272727,0.5521177907240944,28,5,4,10
WeightedSoftVoting,RandomForestClf:0.500;ExtraTreesClf:0.500,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6413043478260869,0.31677613017944467,17,6,5,7,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.6796536796536796,0.23805588025744623,18,15,4,10
WeightedSoftVoting,RandomForestClf:0.167;ExtraTreesClf:0.333;SVC_RBF:0.500,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6086956521739131,0.31677613017944467,17,6,5,7,0.5957446808510638,0.391304347826087,0.6428571428571429,0.4864864864864865,0.722943722943723,0.20000039211957293,19,14,5,9
WeightedSoftVoting,RandomForestClf:0.500;ExtraTreesClf:0.500,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6413043478260869,0.31677613017944467,17,6,5,7,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.6796536796536796,0.23805588025744623,18,15,4,10
WeightedSoftVoting,RandomForestClf:0.250;ExtraTreesClf:0.375;SVC_RBF:0.375,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6086956521739131,0.31677613017944467,17,6,5,7,0.5957446808510638,0.391304347826087,0.6428571428571429,0.4864864864864865,0.7121212121212122,0.20000039211957293,19,14,5,9
WeightedSoftVoting,RandomForestClf:0.500;ExtraTreesClf:0.500,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6413043478260869,0.31677613017944467,17,6,5,7,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.6796536796536796,0.23805588025744623,18,15,4,10
WeightedSoftVoting,ExtraTreesClf:0.400;SVC_RBF:0.600,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6159420289855073,0.31677613017944467,17,6,5,7,0.574468085106383,0.38461538461538464,0.7142857142857143,0.5,0.7186147186147187,0.21105155490655148,17,16,4,10
WeightedSoftVoting,RandomForestClf:0.333;ExtraTreesClf:0.667,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6557971014492754,0.31677613017944467,17,6,5,7,0.574468085106383,0.375,0.6428571428571429,0.47368421052631576,0.6742424242424243,0.17227756548913709,18,15,5,9
WeightedSoftVoting,RandomForestClf:0.250;ExtraTreesClf:0.500;SVC_RBF:0.250,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6340579710144928,0.31677613017944467,17,6,5,7,0.574468085106383,0.375,0.6428571428571429,0.47368421052631576,0.6948051948051948,0.17227756548913709,18,15,5,9
WeightedSoftVoting,RandomForestClf:0.200;ExtraTreesClf:0.400;SVC_RBF:0.400,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6159420289855073,0.31677613017944467,17,6,5,7,0.574468085106383,0.375,0.6428571428571429,0.47368421052631576,0.7142857142857142,0.17227756548913709,18,15,5,9
WeightedSoftVoting,RandomForestClf:0.167;ExtraTreesClf:0.500;SVC_RBF:0.333,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6340579710144928,0.31677613017944467,17,6,5,7,0.574468085106383,0.375,0.6428571428571429,0.47368421052631576,0.7012987012987013,0.17227756548913709,18,15,5,9
WeightedSoftVoting,RandomForestClf:0.143;ExtraTreesClf:0.429;SVC_RBF:0.429,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6159420289855073,0.31677613017944467,17,6,5,7,0.574468085106383,0.375,0.6428571428571429,0.47368421052631576,0.7121212121212122,0.17227756548913709,18,15,5,9
WeightedSoftVoting,RandomForestClf:0.400;ExtraTreesClf:0.600,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6485507246376812,0.31677613017944467,17,6,5,7,0.574468085106383,0.375,0.6428571428571429,0.47368421052631576,0.6829004329004329,0.17227756548913709,18,15,5,9
WeightedSoftVoting,ExtraTreesClf:0.500;SVC_RBF:0.500,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6159420289855073,0.31677613017944467,17,6,5,7,0.5531914893617021,0.36,0.6428571428571429,0.46153846153846156,0.7077922077922078,0.14481732715661313,17,16,5,9
WeightedSoftVoting,ExtraTreesClf:0.500;SVC_RBF:0.500,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6159420289855073,0.31677613017944467,17,6,5,7,0.5531914893617021,0.36,0.6428571428571429,0.46153846153846156,0.7077922077922078,0.14481732715661313,17,16,5,9
WeightedSoftVoting,ExtraTreesClf:0.500;SVC_RBF:0.500,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6159420289855073,0.31677613017944467,17,6,5,7,0.5531914893617021,0.36,0.6428571428571429,0.46153846153846156,0.7077922077922078,0.14481732715661313,17,16,5,9
ExtraTreesClf,ExtraTreesClf,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6684782608695652,0.31677613017944467,17,6,5,7,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.6753246753246753,0.07920807608695958,17,16,6,8
WeightedSoftVoting,ExtraTreesClf:1.000,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6684782608695652,0.31677613017944467,17,6,5,7,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.6753246753246753,0.07920807608695958,17,16,6,8
WeightedSoftVoting,ExtraTreesClf:1.000,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6684782608695652,0.31677613017944467,17,6,5,7,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.6753246753246753,0.07920807608695958,17,16,6,8
WeightedSoftVoting,ExtraTreesClf:0.667;SVC_RBF:0.333,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.644927536231884,0.31677613017944467,17,6,5,7,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.6861471861471862,0.11747209188194846,16,17,5,9
WeightedSoftVoting,ExtraTreesClf:1.000,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6684782608695652,0.31677613017944467,17,6,5,7,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.6753246753246753,0.07920807608695958,17,16,6,8
WeightedSoftVoting,ExtraTreesClf:0.750;SVC_RBF:0.250,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6557971014492754,0.31677613017944467,17,6,5,7,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.6818181818181819,0.07920807608695958,17,16,6,8
WeightedSoftVoting,ExtraTreesClf:0.600;SVC_RBF:0.400,0.27,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6376811594202898,0.31677613017944467,17,6,5,7,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.6926406926406926,0.11747209188194846,16,17,5,9
WeightedSoftVoting,RandomForestClf:0.250;ExtraTreesClf:0.750,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.6612318840579711,0.31677613017944467,17,6,5,7,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.6753246753246753,0.11747209188194846,16,17,5,9
WeightedSoftVoting,RandomForestClf:0.200;ExtraTreesClf:0.600;SVC_RBF:0.200,0.26000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.644927536231884,0.31677613017944467,17,6,5,7,0.5319148936170213,0.34615384615384615,0.6428571428571429,0.45,0.6883116883116883,0.11747209188194846,16,17,5,9
WeightedSoftVoting,GradientBoostingClf:0.143;RandomForestClf:0.286;ExtraTreesClf:0.286;SVC_RBF:0.286,0.30000000000000004,0.6857142857142857,0.5454545454545454,0.5,0.5217391304347826,0.5833333333333333,0.2889602459083516,18,5,6,6,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.777056277056277,0.5521177907240944,28,5,4,10
