training_data,model,scaler,objective,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_MCC,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP,daic_train_rows,external_audio_rows,missing_daic_train_audio,missing_daic_dev_audio,missing_daic_test_audio
DAIC_plus_external_audio,AudioExt_SVC_RBF,robust,accuracy,0.8300000000000002,0.7142857142857143,1.0,0.16666666666666666,0.2857142857142857,0.3408249054303634,0.723404255319149,0.6,0.21428571428571427,0.3157894736842105,0.6774891774891775,0.2279437630232866,31,2,11,3,107,800,30,14,15
DAIC_only,AudioExt_SVC_RBF,robust,accuracy,0.30000000000000004,0.6571428571428571,0.0,0.0,0.0,0.0,0.7021276595744681,0.0,0.0,0.0,0.3701298701298701,0.0,33,0,14,0,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_SVC_RBF,standard,accuracy,0.13,0.7142857142857143,0.625,0.4166666666666667,0.5,0.3235531815621354,0.6595744680851063,0.4375,0.5,0.4666666666666667,0.5865800865800865,0.21934486565218833,24,9,7,7,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_LogisticRegression,robust,f1,0.21000000000000002,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.3931785497463924,0.6382978723404256,0.4444444444444444,0.8571428571428571,0.5853658536585366,0.6861471861471862,0.37238748458083104,18,15,2,12,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_LogisticRegression,robust,accuracy,0.29000000000000004,0.7428571428571429,0.6666666666666666,0.5,0.5714285714285714,0.4013633399524028,0.6170212765957447,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.6861471861471862,0.2653470548913146,19,14,4,10,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SoftVotingEnsemble,standard,accuracy,0.29000000000000004,0.7142857142857143,0.625,0.4166666666666667,0.5,0.3235531815621354,0.6170212765957447,0.4,0.5714285714285714,0.47058823529411764,0.6125541125541125,0.19219999204171925,21,12,6,8,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_GradientBoosting,standard,accuracy,0.4200000000000001,0.6571428571428571,0.5,0.25,0.3333333333333333,0.1505860615031832,0.6170212765957447,0.3888888888888889,0.5,0.4375,0.5541125541125541,0.15679582187463909,22,11,7,7,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_GradientBoosting,robust,accuracy,0.4200000000000001,0.6571428571428571,0.5,0.25,0.3333333333333333,0.1505860615031832,0.6170212765957447,0.3888888888888889,0.5,0.4375,0.5541125541125541,0.15679582187463909,22,11,7,7,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_SoftVotingEnsemble,robust,accuracy,0.4600000000000001,0.7142857142857143,0.625,0.4166666666666667,0.5,0.3235531815621354,0.6170212765957447,0.3888888888888889,0.5,0.4375,0.6677489177489178,0.15679582187463909,22,11,7,7,107,800,30,14,15
DAIC_only,AudioExt_SVC_RBF,standard,accuracy,0.3400000000000001,0.7142857142857143,0.75,0.25,0.375,0.3081126094208925,0.6170212765957447,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.5887445887445888,0.0454029804402663,25,8,10,4,107,0,30,14,15
