model,objective,threshold,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP
Audio_RF,recall,0.05,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5292207792207793,0.0,0,33,0,14
Audio_ET,recall,0.05,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5151515151515151,0.0,0,33,0,14
Audio_GB,recall,0.05,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5248917748917749,0.0,0,33,0,14
Audio_SVC,recall,0.05,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.5930735930735931,0.0,0,33,0,14
Audio_Logistic,f1,0.05,0.3191489361702128,0.29545454545454547,0.9285714285714286,0.4482758620689655,0.39069264069264065,-0.020247063781244273,2,31,1,13
Audio_Logistic,recall,0.05,0.3191489361702128,0.29545454545454547,0.9285714285714286,0.4482758620689655,0.39069264069264065,-0.020247063781244273,2,31,1,13
Audio_SVC,f1,0.28,0.5531914893617021,0.3793103448275862,0.7857142857142857,0.5116279069767442,0.5930735930735931,0.22603034062447974,15,18,3,11
Audio_GB,f1,0.22000000000000003,0.5957446808510638,0.4,0.7142857142857143,0.5128205128205128,0.5248917748917749,0.23805588025744623,18,15,4,10
Audio_RF,f1,0.21000000000000002,0.5319148936170213,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.5292207792207793,0.1573322663876521,15,18,4,10
Audio_ET,f1,0.30000000000000004,0.5319148936170213,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.5151515151515151,0.07920807608695958,17,16,6,8
