model,objective,threshold,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP,train_rows,val_rows,test_rows
DepVidMood_RandomForest,accuracy,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_RandomForest,f1,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_RandomForest,recall,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_ExtraTrees,accuracy,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_ExtraTrees,f1,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_ExtraTrees,recall,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_SoftVotingEnsemble,accuracy,0.4900000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_SoftVotingEnsemble,f1,0.4900000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_SoftVotingEnsemble,recall,0.4900000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182,0,0,206,3716,388,388
DepVidMood_SVC_RBF,accuracy,0.4700000000000001,0.7448453608247423,0.7399103139013453,0.8009708737864077,0.7692307692307693,0.486836080301197,0.7448453608247423,0.7399103139013453,0.8009708737864077,0.7692307692307693,0.8175077349834632,0.486836080301197,124,58,41,165,3716,388,388
DepVidMood_SVC_RBF,f1,0.4100000000000001,0.7216494845360825,0.6689655172413793,0.941747572815534,0.782258064516129,0.47582366840613044,0.7216494845360825,0.6689655172413793,0.941747572815534,0.782258064516129,0.8175077349834632,0.47582366840613044,86,96,12,194,3716,388,388
DepVidMood_GradientBoosting,accuracy,0.4900000000000001,0.7164948453608248,0.7181818181818181,0.7669902912621359,0.7417840375586855,0.42938827909216193,0.7164948453608248,0.7181818181818181,0.7669902912621359,0.7417840375586855,0.7760855649205165,0.42938827909216193,120,62,48,158,3716,388,388
DepVidMood_GradientBoosting,f1,0.4700000000000001,0.7036082474226805,0.6770428015564203,0.8446601941747572,0.7516198704103672,0.4100983652593575,0.7036082474226805,0.6770428015564203,0.8446601941747572,0.7516198704103672,0.7760855649205165,0.4100983652593575,99,83,32,174,3716,388,388
DepVidMood_LogisticRegression,accuracy,0.4900000000000001,0.654639175257732,0.6764705882352942,0.6699029126213593,0.6731707317073171,0.30708540760742925,0.654639175257732,0.6764705882352942,0.6699029126213593,0.6731707317073171,0.692707777659234,0.30708540760742925,116,66,68,138,3716,388,388
DepVidMood_LogisticRegression,f1,0.3500000000000001,0.6237113402061856,0.5925925925925926,0.9320388349514563,0.7245283018867924,0.2780237954144362,0.6237113402061856,0.5925925925925926,0.9320388349514563,0.7245283018867924,0.692707777659234,0.2780237954144362,50,132,14,192,3716,388,388
DepVidMood_GradientBoosting,recall,0.37000000000000005,0.5567010309278351,0.544973544973545,1.0,0.7054794520547946,0.17304219535180662,0.5567010309278351,0.544973544973545,1.0,0.7054794520547946,0.7760855649205165,0.17304219535180662,10,172,0,206,3716,388,388
DepVidMood_SVC_RBF,recall,0.33000000000000007,0.5567010309278351,0.544973544973545,1.0,0.7054794520547946,0.17304219535180662,0.5567010309278351,0.544973544973545,1.0,0.7054794520547946,0.8175077349834632,0.17304219535180662,10,172,0,206,3716,388,388
DepVidMood_LogisticRegression,recall,0.17000000000000004,0.5412371134020618,0.5364583333333334,1.0,0.6983050847457627,0.1085831158159179,0.5412371134020618,0.5364583333333334,1.0,0.6983050847457627,0.692707777659234,0.1085831158159179,4,178,0,206,3716,388,388
