F1,Accuracy,Precision,Recall,MCC,AUC,TN,FP,FN,TP,model,rule
0.75,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.6353285249985376,0.7705627705627706,27,6,2,12,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.04 AND GB_Accuracy_Prob>=0.05
0.7407407407407408,0.851063829787234,0.7692307692307693,0.7142857142857143,0.6373241351470041,0.7705627705627706,30,3,4,10,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.25
0.7333333333333334,0.8297872340425532,0.6875,0.7857142857142857,0.6120766251056302,0.7705627705627706,28,5,3,11,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.05
0.7272727272727273,0.8723404255319149,1.0,0.5714285714285714,0.6953534953651154,0.7965367965367964,33,0,6,8,WeightedAverage,"weights={'GB_Accuracy_Prob': 2, 'Logistic_Prob': 0, 'RandomForest_Prob': 0, 'ExtraTrees_Prob': 2, 'SVC_RBF_Prob': 3}, threshold=0.42"
0.7272727272727273,0.8085106382978723,0.631578947368421,0.8571428571428571,0.6010899408143632,0.7705627705627706,26,7,2,12,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.03 AND GB_Accuracy_Prob>=0.05
0.7272727272727273,0.8085106382978723,0.631578947368421,0.8571428571428571,0.6010899408143632,0.7705627705627706,26,7,2,12,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.04 AND GB_Accuracy_Prob>=0.04
0.7200000000000001,0.851063829787234,0.8181818181818182,0.6428571428571429,0.6289030475727685,0.7705627705627706,31,2,5,9,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.28
0.7142857142857143,0.8297872340425532,0.7142857142857143,0.7142857142857143,0.5930735930735931,0.7705627705627706,29,4,4,10,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.03 AND GB_Accuracy_Prob>=0.25
0.7142857142857143,0.8297872340425532,0.7142857142857143,0.7142857142857143,0.5930735930735931,0.7705627705627706,29,4,4,10,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.18
0.7096774193548386,0.8085106382978723,0.6470588235294118,0.7857142857142857,0.5747753405735131,0.7705627705627706,27,6,3,11,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.04 AND GB_Accuracy_Prob>=0.06
0.7096774193548386,0.8085106382978723,0.6470588235294118,0.7857142857142857,0.5747753405735131,0.7705627705627706,27,6,3,11,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.04
0.7058823529411764,0.7872340425531915,0.6,0.8571428571428571,0.5685916431234195,0.7705627705627706,25,8,2,12,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.03 AND GB_Accuracy_Prob>=0.04
0.6956521739130435,0.851063829787234,0.8888888888888888,0.5714285714285714,0.6289352956273975,0.7705627705627706,32,1,6,8,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.31
0.6956521739130435,0.851063829787234,0.8888888888888888,0.5714285714285714,0.6289352956273975,0.7857142857142857,32,1,6,8,WeightedAverage,"weights={'GB_Accuracy_Prob': 1, 'Logistic_Prob': 0, 'RandomForest_Prob': 0, 'ExtraTrees_Prob': 0, 'SVC_RBF_Prob': 3}, threshold=0.36"
0.6956521739130435,0.851063829787234,0.8888888888888888,0.5714285714285714,0.6289352956273975,0.7965367965367965,32,1,6,8,WeightedAverage,"weights={'GB_Accuracy_Prob': 1, 'Logistic_Prob': 0, 'RandomForest_Prob': 0, 'ExtraTrees_Prob': 1, 'SVC_RBF_Prob': 2}, threshold=0.40"
0.6923076923076924,0.8297872340425532,0.75,0.6428571428571429,0.5788880006133953,0.7705627705627706,30,3,5,9,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.03 AND GB_Accuracy_Prob>=0.28
0.6923076923076924,0.8297872340425532,0.75,0.6428571428571429,0.5788880006133953,0.7705627705627706,30,3,5,9,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.27
0.6923076923076924,0.8297872340425532,0.75,0.6428571428571429,0.5788880006133953,0.7727272727272727,30,3,5,9,WeightedAverage,"weights={'GB_Accuracy_Prob': 1, 'Logistic_Prob': 0, 'RandomForest_Prob': 0, 'ExtraTrees_Prob': 3, 'SVC_RBF_Prob': 3}, threshold=0.33"
0.689655172413793,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.5521177907240944,0.7705627705627706,28,5,4,10,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.01 AND GB_Accuracy_Prob>=0.25
0.689655172413793,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.5521177907240944,0.7705627705627706,28,5,4,10,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.03 AND GB_Accuracy_Prob>=0.21
0.689655172413793,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.5521177907240944,0.7705627705627706,28,5,4,10,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.09 AND GB_Accuracy_Prob>=0.11
0.689655172413793,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.5521177907240944,0.7835497835497836,28,5,4,10,WeightedAverage,"weights={'GB_Accuracy_Prob': 1, 'Logistic_Prob': 0, 'RandomForest_Prob': 1, 'ExtraTrees_Prob': 2, 'SVC_RBF_Prob': 0}, threshold=0.33"
0.6875000000000001,0.7872340425531915,0.6111111111111112,0.7857142857142857,0.539621984373758,0.7640692640692641,26,7,3,11,OR_Logistic_RandomForest_Prob,Logistic>=0.16 OR RandomForest_Prob>=0.39
0.6875000000000001,0.7872340425531915,0.6111111111111112,0.7857142857142857,0.539621984373758,0.7705627705627706,26,7,3,11,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.03 AND GB_Accuracy_Prob>=0.06
0.6875000000000001,0.7872340425531915,0.6111111111111112,0.7857142857142857,0.539621984373758,0.7705627705627706,26,7,3,11,AND_Logistic_GB_Accuracy_Prob,Logistic>=0.07 AND GB_Accuracy_Prob>=0.04
0.6857142857142857,0.7659574468085106,0.5714285714285714,0.8571428571428571,0.5375841492902727,0.7640692640692641,24,9,2,12,OR_Logistic_RandomForest_Prob,Logistic>=0.09 OR RandomForest_Prob>=0.39
0.6666666666666667,0.7659574468085106,0.5789473684210527,0.7857142857142857,0.5062871649141113,0.7640692640692641,25,8,3,11,AND_Logistic_RandomForest_Prob,Logistic>=0.06 AND RandomForest_Prob>=0.22
0.6666666666666667,0.7659574468085106,0.5789473684210527,0.7857142857142857,0.5062871649141113,0.7640692640692641,25,8,3,11,OR_Logistic_RandomForest_Prob,Logistic>=0.13 OR RandomForest_Prob>=0.39
