rule,Accuracy,Precision,Recall,F1,MCC,TN,FP,FN,TP
base AND PHQ_Score>=5.0,0.9574468085106383,1.0,0.8571428571428571,0.9230769230769231,0.8989790127172728,33,0,2,12
base AND PHQ_Score>=6.0,0.9574468085106383,1.0,0.8571428571428571,0.9230769230769231,0.8989790127172728,33,0,2,12
base AND PHQ_Score>=7.0,0.9574468085106383,1.0,0.8571428571428571,0.9230769230769231,0.8989790127172728,33,0,2,12
base AND PHQ_Score>=8.0,0.9574468085106383,1.0,0.8571428571428571,0.9230769230769231,0.8989790127172728,33,0,2,12
base AND PHQ_Score>=9.0,0.9574468085106383,1.0,0.8571428571428571,0.9230769230769231,0.8989790127172728,33,0,2,12
base AND PHQ_Score>=10.0,0.9574468085106383,1.0,0.8571428571428571,0.9230769230769231,0.8989790127172728,33,0,2,12
base AND PHQ_Score>=12.0,0.9361702127659575,1.0,0.7857142857142857,0.88,0.8486684247915055,33,0,3,11
base AND PHQ_Score>=3.0,0.9148936170212766,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7965367965367965,31,2,2,12
base AND PHQ_Score>=2.0,0.8936170212765957,0.8,0.8571428571428571,0.8275862068965517,0.7517296073704978,30,3,2,12
base AND PHQ_Score>=1.0,0.8723404255319149,0.75,0.8571428571428571,0.8,0.7102595649689908,29,4,2,12
base AND PHQ_Score>=13.0,0.8936170212765957,1.0,0.6428571428571429,0.782608695652174,0.7471751312053482,33,0,5,9
base AND Logistic_Prob<=0.9981,0.851063829787234,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6716012940034598,28,5,2,12
base AND ExtraTrees_Prob<=0.592,0.851063829787234,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6716012940034598,28,5,2,12
base AND SVC_RBF_Prob<=0.3871,0.851063829787234,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6716012940034598,28,5,2,12
base AND Max_Classifier_Prob<=0.9981,0.851063829787234,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6716012940034598,28,5,2,12
base AND Mean_Regressor_PHQ<=13.327,0.851063829787234,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6716012940034598,28,5,2,12
base AND Max_Regressor_PHQ<=20.8239,0.851063829787234,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.6716012940034598,28,5,2,12
base AND Logistic_Prob<=0.9485,0.8723404255319149,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6855850046480212,31,2,4,10
base AND Logistic_Prob<=0.9728,0.8723404255319149,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6855850046480212,31,2,4,10
base AND Max_Classifier_Prob<=0.9485,0.8723404255319149,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6855850046480212,31,2,4,10
