model,objective,threshold,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP
Visual_ET,recall,0.060000000000000005,0.3829787234042553,0.32558139534883723,1.0,0.49122807017543857,0.4978354978354978,0.19865651652396107,4,29,0,14
Visual_RF,recall,0.1,0.3617021276595745,0.30952380952380953,0.9285714285714286,0.4642857142857143,0.4935064935064935,0.0738409373174027,4,29,1,13
Visual_Logistic,recall,0.05,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.6471861471861472,0.0,0,33,0,14
Visual_Logistic,f1,0.38000000000000006,0.44680851063829785,0.3235294117647059,0.7857142857142857,0.4583333333333333,0.6471861471861472,0.09073017201745544,10,23,3,11
Visual_SVC,f1,0.27,0.2978723404255319,0.28888888888888886,0.9285714285714286,0.4406779661016949,0.41774891774891776,-0.09317756533661245,1,32,1,13
Visual_SVC,recall,0.27,0.2978723404255319,0.28888888888888886,0.9285714285714286,0.4406779661016949,0.41774891774891776,-0.09317756533661245,1,32,1,13
Visual_GB,recall,0.14,0.3617021276595745,0.2894736842105263,0.7857142857142857,0.4230769230769231,0.5205627705627707,-0.03773611773764385,6,27,3,11
Visual_GB,f1,0.22000000000000003,0.425531914893617,0.25925925925925924,0.5,0.34146341463414637,0.5205627705627707,-0.0981020792712942,13,20,7,7
Visual_RF,f1,0.27,0.48936170212765956,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.4935064935064935,-0.05157877405578002,17,16,8,6
Visual_ET,f1,0.29000000000000004,0.48936170212765956,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.4978354978354978,-0.05157877405578002,17,16,8,6
